album_id,album_name,release_date,total_tracks
1,HEIS,2024-07-10,11
2,A/B,2016-06-10,10
3,Kid Hits,2011-12-12,13
4,girl$,2024-06-07,1
5,PORTALS,2023-03-31,13
6,"Reise, Reise",2004-09-27,11
7,Unleash,2022-09-21,8
8,BRAT,2024-06-07,15
9,Holiday,2005-03-30,2
10,True 2 Myself,2019-10-11,17
11,Picture Show,2012-01-01,11
12,Greatest Hits,,16
13,Demon Days,2005-05-23,15
14,We Sing. We Dance. We Steal Things.,2008-05-12,12
15,Hold On,2017-02-03,1
16,Hell N Back,2019-08-15,1
17,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),2008-05-01,26
18,Little Voice,2007-07-03,12
19,Gossip In The Grain,2008-10-13,10
20,Disney Instrumentals: Disney Channel,2024-07-19,8
21,Love Is a Four Letter Word (Deluxe Edition),2012-04-13,18
22,I Was Born To Love You,2022-08-04,1
23,Strangers No More,2023-06-07,11
24,The Blessed Unrest,2013-07-16,12
25,Beast Epic,2017-08-25,11
26,Some Mad Hope,2007-01-01,12
27,Our Endless Numbered Days (Deluxe Edition),2004-03-23,20
28,The Shepherd's Dog,2007-09-25,12
29,Brand New,2015-08-28,12
30,Trouble,2004-08-15,10
31,Mission Bell,,13
32,Asleep Among Endives,2021-02-03,1
33,Save It For Later,2024-06-27,1
34,The Story,2007-04-03,13
35,Wreck of the Day,,11
36,Be OK,2008-10-14,11
37,Montage Of Heck: The Home Recordings,2015-11-13,13
38,Transitions III,2020-06-05,8
39,Disney Guitar: Family,2022-03-07,2
40,What's Inside: Songs from Waitress,2015-11-06,12
41,Crazy Rich Asians (Original Motion Picture Soundtrack),2018-08-10,14
42,Disney Guitar: Lullaby,2020-04-15,8
43,All The Stars and Boulevards,,11
44,The Joy of Music,2022-03-11,13
45,Know.,2018-08-10,10
46,Waiting for My Rocket to Come,2002-10-15,12
47,Disney Guitar: Happy,2020-07-24,7
48,Comedy,2022-04-08,1
49,Kaleidoscope Heart,2010-09-07,13
50,Magic,2018-06-22,13
51,Part Of The Light,2018-05-18,9
52,Weed Garden,2018-08-31,6
53,Wreck,2024-07-12,1
54,In These Silent Days,2021-10-01,10
55,Time Without Consequence,2006-06-06,11
56,Time After Time,2016-10-28,1
57,Bear Creek,2012-06-04,13
58,Into The Wild (Music For The Motion Picture),2007-09-18,16
59,Say I Am You,2005-12-20,13
60,The Lotto,2016-09-30,1
61,S.O.S. 2: Soul On A Mission,2016-09-30,14
62,"By the Way, I Forgive You",2018-02-16,10
63,Windswept Adan,2020-12-02,14
64,Good Luck Everybody,2020-01-17,11
65,Four Songs,2002-01-01,4
66,Barton Hollow,2011-02-01,14
67,Step Into Your Power,2024-06-05,1
68,The Princess and the Frog (Original Motion Picture Soundtrack),2009-11-23,17
69,Till The Sun Turns Black,2006-08-29,12
70,Onward (Original Motion Picture Soundtrack),2020-02-28,45
71,Sounds Like This,,10
72,Lights Out,2014-04-15,14
73,Enchanted,2007-01-01,15
74,Shut In,2015-05-31,10
75,Find Your People,2023-03-08,2
76,Without a Light,2021-10-01,1
77,Long Way Home,2024-06-28,2
78,Pano,2021-12-06,1
79,Amos Lee,2005-01-01,11
80,Good Light,2013-02-19,12
81,Range Rover,2021-05-21,1
82,I Won't Give Up,2012-01-03,1
83,Disney Guitar: Blissful,2021-07-23,7
84,A Face Like Mine,2017-04-21,9
85,Disney Guitar: Breathe,2020-08-07,7
86,Disney Guitar: Serenity,2022-01-07,7
87,The Civil Wars,2013-08-02,12
88,Episode,2021-10-15,14
89,Mystical Magical Rhythmical Radical Ride,2023-06-23,10
90,マホロボシヤ,2016-10-19,11
91,What's Left of You,2021-06-04,1
92,Finch,2019-08-02,11
93,"When You Wish Upon a Star (From ""Disney 100"")",2023-05-15,1
94,People Who Eat People Are The Luckiest People In The World,2007-09-11,11
95,O,2003-06-03,10
96,Calm Down (with Selena Gomez),2022-08-25,1
97,Black Star Elephant,,21
98,Born in the Wild,2024-06-06,18
99,For Broken Ears,2020-09-25,7
100,Rave & Roses Ultra,2023-04-27,22
101,Love Me JeJe,2024-04-25,1
102,Made In Lagos,2020-10-29,14
103,People,2022-12-06,1
104,CKay The First,2019-08-30,8
105,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,1
106,The Year I Turned 21,2024-05-30,15
107,Me & U,2023-10-05,1
108,Found (feat. Brent Faiyaz),2021-09-09,1
109,Calle 13 (Explicit Version),,17
110,Boy Alone,2022-07-14,14
111,"Soweto (with Don Toliver, Rema and Tempoe)",2023-03-22,1
112,Fountain Baby,2023-06-09,14
113,Higher,2024-06-27,1
114,Wave,2024-06-20,1
115,I Told Them...,2023-08-24,15
116,Holy Ghost,2023-11-09,1
117,Outside,2018-01-26,12
118,Monalisa,2022-05-19,1
119,Let My People Go,2005-01-24,9
120,If Orange Was A Place,2021-09-14,5
121,"Love, Damini",2022-07-07,19
122,ROMANCE : UNTOLD,2024-07-12,9
123,Favourite Girl,2024-05-02,1
124,Timeless,2023-03-30,17
125,Work Of Art,2023-06-15,14
126,KU LO SA - A COLORS SHOW,2022-06-10,1
127,THENIGHTISYOUNG.,2019-02-22,4
128,Calm Down,2022-02-10,2
129,RU The World,2023-09-01,17
130,Happiness (feat. Asake & Gunna),2023-12-07,1
131,19 & Dangerous (Deluxe),2022-10-21,16
132,"Love, Damini",2022-07-06,19
133,Rush,2022-09-16,1
134,People (Remixes),2023-03-31,4
135,Playboy,2022-08-04,14
136,Realms,2020-09-10,7
137,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,1
138,Finesse,2022-03-03,1
139,Black Panther: Wakanda Forever - Music From and Inspired By,2022-11-11,20
140,22,2023-02-22,1
141,Mr. Money With The Vibe,2022-09-07,12
142,Afrowave 2,2018-07-06,9
143,I Told Them...,2023-08-23,15
144,BENIN BOYS,2024-06-20,1
145,Rave & Roses,2022-03-24,16
146,Rema,2019-03-22,4
147,Jireh (My Provider),2022-07-01,1
148,Not An Angel,2023-12-08,1
149,The Budos Band,2005-11-29,11
150,Maverick,2023-07-27,20
151,Trench to Triumph,2023-07-21,13
152,Outlaw,2022-05-06,7
153,Everyday,2024-05-02,1
154,Essence (feat. Justin Bieber & Tems),2021-08-13,1
155,Soweto,2023-03-21,6
156,YAWA,2023-06-22,1
157,I Could Sing of Your Love,2020-04-07,1
158,Boy Alone (Deluxe),2023-06-15,20
159,I Love You.,2013-04-19,11
160,14 minutes,2024-05-03,8
