album_id,album_name,release_date,total_tracks
1,We Sing. We Dance. We Steal Things.,2008-05-12,12
2,Hold On,2017-02-03,1
3,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),2008-05-01,26
4,Little Voice,2007-07-03,12
5,Gossip In The Grain,2008-10-13,10
6,Disney Instrumentals: Disney Channel,2024-07-19,8
7,Love Is a Four Letter Word (Deluxe Edition),2012-04-13,18
8,I Was Born To Love You,2022-08-04,1
9,Strangers No More,2023-06-07,11
10,The Blessed Unrest,2013-07-16,12
11,Beast Epic,2017-08-25,11
12,Some Mad Hope,2007-01-01,12
13,Our Endless Numbered Days (Deluxe Edition),2004-03-23,20
14,The Shepherd's Dog,2007-09-25,12
15,Brand New,2015-08-28,12
16,Trouble,2004-08-15,10
17,Mission Bell,,13
18,Save It For Later,2024-06-27,1
19,Asleep Among Endives,2021-02-03,1
20,The Story,2007-04-03,13
21,Wreck of the Day,,11
22,Be OK,2008-10-14,11
23,Montage Of Heck: The Home Recordings,2015-11-13,13
24,Disney Guitar: Family,2022-03-07,2
25,What's Inside: Songs from Waitress,2015-11-06,12
26,Crazy Rich Asians (Original Motion Picture Soundtrack),2018-08-10,14
27,Disney Guitar: Lullaby,2020-04-15,8
28,All The Stars and Boulevards,,11
29,The Joy of Music,2022-03-11,13
30,Know.,2018-08-10,10
31,Waiting for My Rocket to Come,2002-10-15,12
32,Disney Guitar: Happy,2020-07-24,7
33,Comedy,2022-04-08,1
34,Magic,2018-06-22,13
35,Part Of The Light,2018-05-18,9
36,Weed Garden,2018-08-31,6
37,Wreck,2024-07-12,1
38,In These Silent Days,2021-10-01,10
39,Time Without Consequence,2006-06-06,11
40,Time After Time,2016-10-28,1
41,Bear Creek,2012-06-04,13
42,Into The Wild (Music For The Motion Picture),2007-09-18,16
43,Say I Am You,2005-12-20,13
44,The Lotto,2016-09-30,1
45,S.O.S. 2: Soul On A Mission,2016-09-30,14
46,"By the Way, I Forgive You",2018-02-16,10
47,Windswept Adan,2020-12-02,14
48,Four Songs,2002-01-01,4
49,Good Luck Everybody,2020-01-17,11
50,Barton Hollow,2011-02-01,14
51,The Princess and the Frog (Original Motion Picture Soundtrack),2009-11-23,17
52,Step Into Your Power,2024-06-05,1
53,Till The Sun Turns Black,2006-08-29,12
54,Sounds Like This,,10
55,Onward (Original Motion Picture Soundtrack),2020-02-28,45
56,Lights Out,2014-04-15,14
57,Enchanted,2007-01-01,15
58,Shut In,2015-05-31,10
59,Find Your People,2023-03-08,2
60,Long Way Home,2024-06-28,2
61,Without a Light,2021-10-01,1
62,Pano,2021-12-06,1
63,Amos Lee,2005-01-01,11
