album_id,album_name,release_date,total_tracks
1,Magic,2018-06-22,13
2,Disney Guitar: Magical,2022-03-18,2
3,Goodbye Road,2018-05-04,5
4,MONOVISION,2020-06-26,10
5,Calm Down (with Selena Gomez),2022-08-25,1
6,Black Star Elephant,,21
7,Born in the Wild,2024-06-06,18
8,For Broken Ears,2020-09-25,7
9,Rave & Roses Ultra,2023-04-27,22
10,Love Me JeJe,2024-04-25,1
11,Made In Lagos,2020-10-29,14
12,CKay The First,2019-08-30,8
13,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,1
14,The Year I Turned 21,2024-05-30,15
15,Me & U,2023-10-05,1
16,Found (feat. Brent Faiyaz),2021-09-09,1
17,Calle 13 (Explicit Version),,17
18,Boy Alone,2022-07-14,14
19,"Soweto (with Don Toliver, Rema and Tempoe)",2023-03-22,1
20,Higher,2024-06-27,1
21,Fountain Baby,2023-06-09,14
22,Wave,2024-06-20,1
23,I Told Them...,2023-08-24,15
24,Holy Ghost,2023-11-09,1
25,Outside,2018-01-26,12
26,Monalisa,2022-05-19,1
27,Let My People Go,2005-01-24,9
28,Favourite Girl,2024-05-02,1
29,"Love, Damini",2022-07-07,19
30,Timeless,2023-03-30,17
31,Work Of Art,2023-06-15,14
32,KU LO SA - A COLORS SHOW,2022-06-10,1
33,THENIGHTISYOUNG.,2019-02-22,4
34,Calm Down,2022-02-10,2
35,"Love, Damini",2022-07-06,19
36,19 & Dangerous (Deluxe),2022-10-21,16
37,Happiness (feat. Asake & Gunna),2023-12-07,1
38,Save It For Later,2024-06-27,1
39,HEIS,2024-07-10,11
40,Rush,2022-09-16,1
41,People (Remixes),2023-03-31,4
42,Playboy,2022-08-04,14
43,Realms,2020-09-10,7
44,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,1
45,Finesse,2022-03-03,1
46,Black Panther: Wakanda Forever - Music From and Inspired By,2022-11-11,20
47,22,2023-02-22,1
