artist_id,artist_names,artist_ids
1,Ben Rector,4AapPt7H6bGH4i7chTulpI
2,Disney Peaceful Guitar,3oqzxUlHhjJ7auI4dVujKX
3,Disney,3xvaSlT4xsyk6lY1ESOspO
4,Johnnyswim,4igDSX1kgfWbVTDCywcBGm
5,Drew Holcomb & The Neighbors,4RwbDag6jWIYJnEGH6Wte9
6,Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj
7,Rema,46pWGuE3dSwY3bMMXGBvVS
8,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
9,Nico & Vinz,0awl5piYwO0CDTHEkCjUhn
10,Tems,687cZJR45JO7jhk1LHIbgq
11,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
12,Wizkid,3tVQdUvClmAT7URs9V3rsp
13,CKay,048LktY5zMnakWq7PTtFrz
14,Amaarae,21UPYSRWFKwtqvSAnFnSvS
15,Kali Uchis,1U1el3k54VvEUzo3ybLPlM
16,Moliy,2hVWBpjLW4Q7fboYz2pVYK
17,Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq
18,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
19,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG
20,Calle 13,0yNSzH5nZmHzeE2xn6Xshb
21,Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO
22,Victony,1E5hfn5BduN2nnoZCJmUVG
23,Tempoe,1X7glgDhqNq1qn0Qv9g3K4
24,Don Toliver,4Gso3d4CscCijv0lmajZWs
25,Burna Boy,3wcj11K77LjEY1PkEazffa
26,Asake,3a1tBryiczPAZpgoZN9Rzg
27,Central Cee,5H4yInM5zmHqpKIoMNAx4r
28,Lojay,3ONGmday8YN8AkbsRk01iL
29,Sarz,408vMm7y1227ASq7GmWygZ
30,Chris Brown,7bXgB6jMjp9ATFy66eO08Z
31,Darondo,4JfFdF9Row7UXtdsKtT6tc
32,Darkoo,4QSTyDpxsKmv3UfavVUImR
33,Dess Dior,1RnSjp7u3KIyEJbRiQLs9O
34,Davido,0Y3agQaa6g2r0YmHPOO9rh
35,Musa Keys,414pDI8Y502owCbg7U6Skf
36,Oxlade,3WTrdbZU99dgTtt3ZkyamT
37,melvitto,4Xj0nxVO4r7PLEaw7LRiBa
38,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
39,Eddie Vedder,0mXTJETA4XUa12MmmXxZJh
40,Libianca,7kjSuFGKhLm8b5qXoMhRkJ
41,Shallipopi,4TKhxSkqClXrdtUWgKqHVU
42,Fireboy DML,75VKfyoBlkmrJFDqo1o2VY
43,ODUMODUBLVCK,3LOm0AZjpwVQebvkyanjDy
44,Wande Coal,1fYVmAFB7sC7eDoF3mJXla
45,Dj Yo!,7iTLGcddv1bOPirdYJjKVy
46,AX'EL,5fUXK5m3BNwoRgTyKq8tnz
47,Pheelz,5Jv1MsZBh0sqokFq7pU8Xg
48,Bnxn,3zaDigUwjHvjOkSn0NDf9x
49,JayO,1IMENE2OCzsrXuu62aW1mD
50,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
51,FAVE,4wAqlYtTaaHELEgyCh9KjG
52,Afro B,7oMRcCu0OYSCtCyS3P37iC
53,Olamide,4ovtyvs7j1jSmwhkBGHqSr
54,Limoblaze,0liXA3xwx6pncxYQA30ahT
55,Lecrae,1CFCsEqKrCyvAFKOATQHiW
56,Happi,6JboUw8iZP7Ts7fDcVowP4
57,Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB
58,The Budos Band,5q4eLKmqFVP0xII8087PHz
