album_id,album_name,release_date,total_tracks
1,We Sing. We Dance. We Steal Things.,2008-05-12,12
2,Hold On,2017-02-03,1
3,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),2008-05-01,26
4,Little Voice,2007-07-03,12
5,Gossip In The Grain,2008-10-13,10
6,Love Is a Four Letter Word (Deluxe Edition),2012-04-13,18
7,Strangers No More,2023-06-07,11
8,I Was Born To Love You,2022-08-04,1
9,The Blessed Unrest,2013-07-16,12
10,Beast Epic,2017-08-25,11
11,Some Mad Hope,2007-01-01,12
12,Our Endless Numbered Days (Deluxe Edition),2004-03-23,20
13,The Shepherd's Dog,2007-09-25,12
14,Brand New,2015-08-28,12
15,Trouble,2004-08-15,10
16,Mission Bell,,13
17,Asleep Among Endives,2021-02-03,1
18,The Story,2007-04-03,13
19,Wreck of the Day,,11
20,Be OK,2008-10-14,11
21,Save It For Later,2024-06-27,1
22,Montage Of Heck: The Home Recordings,2015-11-13,13
23,What's Inside: Songs from Waitress,2015-11-06,12
24,Disney Guitar: Family,2022-03-07,2
25,Crazy Rich Asians (Original Motion Picture Soundtrack),2018-08-10,14
26,Disney Guitar: Lullaby,2020-04-15,8
27,All The Stars and Boulevards,,11
28,Know.,2018-08-10,10
29,The Joy of Music,2022-03-11,13
30,Waiting for My Rocket to Come,2002-10-15,12
31,Disney Guitar: Happy,2020-07-24,7
32,Comedy,2022-04-08,1
33,Kaleidoscope Heart,2010-09-07,13
34,Magic,2018-06-22,13
35,Part Of The Light,2018-05-18,9
36,Weed Garden,2018-08-31,6
37,Time After Time,2016-10-28,1
38,Time Without Consequence,2006-06-06,11
39,In These Silent Days,2021-10-01,10
40,Bear Creek,2012-06-04,13
41,Say I Am You,2005-12-20,13
42,Into The Wild (Music For The Motion Picture),2007-09-18,16
43,The Lotto,2016-09-30,1
44,S.O.S. 2: Soul On A Mission,2016-09-30,14
45,"By the Way, I Forgive You",2018-02-16,10
46,Windswept Adan,2020-12-02,14
47,Step Into Your Power,2024-06-05,1
48,Wreck,2024-07-12,1
49,Good Luck Everybody,2020-01-17,11
50,Onward (Original Motion Picture Soundtrack),2020-02-28,45
51,Till The Sun Turns Black,2006-08-29,12
52,Four Songs,2002-01-01,4
53,Barton Hollow,2011-02-01,14
54,Enchanted,2007-01-01,15
55,The Princess and the Frog (Original Motion Picture Soundtrack),2009-11-23,17
56,Sounds Like This,,10
57,Lights Out,2014-04-15,14
58,Shut In,2015-05-31,10
59,Find Your People,2023-03-08,2
60,Without a Light,2021-10-01,1
61,Pano,2021-12-06,1
62,Long Way Home,2024-06-28,2
63,Amos Lee,2005-01-01,11
