artist_id,artist_names,artist_ids
1,Jason Mraz,4phGZZrJZRo4ElhRtViYdl
2,Chord Overstreet,5D3muNJhYYunbRkh3FKgX0
3,Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM
4,Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj
5,Drew Holcomb & The Neighbors,4RwbDag6jWIYJnEGH6Wte9
6,Sierra Ferrell,3oVcF3VdpMuvMvLLyHPT4t
7,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V
8,Matt Nathanson,4NGiEU3Pkd8ASRyQR30jcA
9,Ben Rector,4AapPt7H6bGH4i7chTulpI
10,Amos Lee,0QrowybipCKUDnq5y10PD2
11,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu
12,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
13,Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej
14,Anna Nalick,4LoM3lMauQ540MW9QiyIcR
15,Ingrid Michaelson,2vm8GdHyrJh2O2MfbQFYG0
16,Eddie Vedder,0mXTJETA4XUa12MmmXxZJh
17,Kurt Cobain,6pAuTi6FXi6qFQJ1dzMXQs
18,Disney Peaceful Guitar,3oqzxUlHhjJ7auI4dVujKX
19,Disney,3xvaSlT4xsyk6lY1ESOspO
20,Kina Grannis,7h4j9YTJJuAHzLCc3KCvYu
21,Augustana,61YE3whKiuRr83j1yOm5M7
22,Gen Hoshino,1S2S00lgLYLGHWA44qGEUs
23,Alexi Murdoch,25mrbNwFzoqPWyYXLhiDRw
24,Lucius,1WrqUPWlHN5FXCRcQgrkas
25,The Weepies,6pwHWKweuoCyx3OoFaD0Q5
26,Deb Talan,7tFFagB7kjwoCTP3QMlzJD
27,Steve Tannen,6vvDymlJBME7J2SPsyY3td
28,AJR,6s22t5Y3prQHyaHWUN1R1C
29,Marc Broussard,4cEwEednPwWCdYT7ZhROZe
30,AJJ,4IDpDJIDfK96HMLD4Tphyl
31,The Civil Wars,6J7rw7NELJUCThPbAfyLIE
32,Jon McLaughlin,6z29S0IoiBJpSMP8plyCj7
33,Dr. John,320TrJub4arztwXRm7kqVO
34,Eric Hutchinson,39x8gyJjTHiBQklFgVJSV4
35,Pigeon Pit,4Bmvzoo0CzEGV4EczcG9rv
36,Zack Tabudlo,67IN4cLJ7798gUapyZlmac
37,Steve Winwood,5gxynDEKwNDgxGJmJjZyte
38,Peter Bradley Adams,0CdbG1eHVjqjkQsGoH2u1V
39,Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur
40,Damien Rice,14r9dR01KeBLFfylVSKCZQ
41,Fiona Apple,3g2kUQ6tHLLbmkV7T4GPtL
42,Johnnyswim,4igDSX1kgfWbVTDCywcBGm
