id,track_name,popularity,track_id,duration_ms,album_name,release_date,total_tracks,artist_names,artist_ids,genre
1,I'm Yours,76,1EzrEOXmMH3G43AXT1y7pA,242946,We Sing. We Dance. We Steal Things.,2008-05-12,12,['Jason Mraz'],['4phGZZrJZRo4ElhRtViYdl'],acoustic
2,Hold On,77,5vjLSffimiIP26QG5WcN2K,198853,Hold On,2017-02-03,1,['Chord Overstreet'],['5D3muNJhYYunbRkh3FKgX0'],acoustic
3,I'm Yours,77,3S0OXQeoh0w6AY8WQVckRW,242946,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),2008-05-01,26,['Jason Mraz'],['4phGZZrJZRo4ElhRtViYdl'],acoustic
4,Love Song,71,4E6cwWJWZw2zWf7VFbH7wf,258826,Little Voice,2007-07-03,12,['Sara Bareilles'],['2Sqr0DXoaYABbjBo9HaMkM'],acoustic
5,You Are the Best Thing,66,1jyddn36UN4tVsJGtaJfem,231840,Gossip In The Grain,2008-10-13,10,['Ray LaMontagne'],['6DoH7ywD5BcQvjloe9OcIj'],acoustic
6,If Only,18,1GTZWjOgUbniYlRjimCy0N,245561,Disney Instrumentals: Disney Channel,2024-07-19,8,"['Disney Peaceful Guitar', 'Disney']","['3oqzxUlHhjJ7auI4dVujKX', '3xvaSlT4xsyk6lY1ESOspO']",acoustic
7,Introducing Me,17,2s9yBBVZr4MEpxMsRyn93e,201501,Disney Instrumentals: Disney Channel,2024-07-19,8,"['Disney Peaceful Guitar', 'Disney']","['3oqzxUlHhjJ7auI4dVujKX', '3xvaSlT4xsyk6lY1ESOspO']",acoustic
8,This Is Me,16,7xfnUhz19l6lwZTaw2gJm4,211338,Disney Instrumentals: Disney Channel,2024-07-19,8,"['Disney Peaceful Guitar', 'Disney']","['3oqzxUlHhjJ7auI4dVujKX', '3xvaSlT4xsyk6lY1ESOspO']",acoustic
9,True Love,16,1yBQfNt0q3nqDLeoIbWiRC,183266,Disney Instrumentals: Disney Channel,2024-07-19,8,"['Disney Peaceful Guitar', 'Disney']","['3oqzxUlHhjJ7auI4dVujKX', '3xvaSlT4xsyk6lY1ESOspO']",acoustic
10,I Won't Give Up,67,53QF56cjZA9RTuuMZDrSA6,240165,Love Is a Four Letter Word (Deluxe Edition),2012-04-13,18,['Jason Mraz'],['4phGZZrJZRo4ElhRtViYdl'],acoustic
11,I Was Born To Love You,66,24CcvMOaNniXXcxA8HjUw1,265843,I Was Born To Love You,2022-08-04,1,"['Ray LaMontagne', 'Sierra Ferrell']","['6DoH7ywD5BcQvjloe9OcIj', '3oVcF3VdpMuvMvLLyHPT4t']",acoustic
12,Find Your People,64,5htghP7rThIe6oXBN6uYI5,194093,Strangers No More,2023-06-07,11,['Drew Holcomb & The Neighbors'],['4RwbDag6jWIYJnEGH6Wte9'],acoustic
13,Brave,65,6Uy6K3KdmUdAfelUp0SeXn,220573,The Blessed Unrest,2013-07-16,12,['Sara Bareilles'],['2Sqr0DXoaYABbjBo9HaMkM'],acoustic
14,Naked as We Came,66,6UIxGIqWlO5wsddY44AV1R,152613,Our Endless Numbered Days (Deluxe Edition),2004-03-23,20,['Iron & Wine'],['4M5nCE77Qaxayuhp3fVn4V'],acoustic
15,Call It Dreaming,66,1MxHIIzcTeFnaNsDGY3pfj,231754,Beast Epic,2017-08-25,11,['Iron & Wine'],['4M5nCE77Qaxayuhp3fVn4V'],acoustic
16,Come On Get Higher,63,38YgZVHPWOWsKrsCXz6JyP,215173,Some Mad Hope,2007-01-01,12,['Matt Nathanson'],['4NGiEU3Pkd8ASRyQR30jcA'],acoustic
17,"Flightless Bird, American Mouth",67,1fEGtTZjrjJW8eUeewnNJR,241917,The Shepherd's Dog,2007-09-25,12,['Iron & Wine'],['4M5nCE77Qaxayuhp3fVn4V'],acoustic
18,Brand New,60,07m8PuXxxv5J4qPEDq6ZkK,243933,Brand New,2015-08-28,12,['Ben Rector'],['4AapPt7H6bGH4i7chTulpI'],acoustic
19,Save It For Later,63,2rs6UMzlu1pMGGVw60tiHm,261966,Save It For Later,2024-06-27,1,['Eddie Vedder'],['0mXTJETA4XUa12MmmXxZJh'],acoustic
20,Lucky,67,0IktbUcnAGrvD03AWnz3Q8,189613,We Sing. We Dance. We Steal Things.,2008-05-12,12,"['Jason Mraz', 'Colbie Caillat']","['4phGZZrJZRo4ElhRtViYdl', '6aZyMrc4doVtZyKNilOmwu']",acoustic
21,Windows Are Rolled Down,58,1umKFpJdXDtquGCz4oBVDJ,237226,Mission Bell,2011,13,['Amos Lee'],['0QrowybipCKUDnq5y10PD2'],acoustic
22,Asleep Among Endives,65,0RD3NWnHlyBCRwgNZy8QAn,306271,Asleep Among Endives,2021-02-03,1,['Ichiko Aoba'],['6ignRjbPmLvKdtMLj9a5Xs'],acoustic
23,The Story,63,0EKBV6GybPtALXUgWqWrym,238493,The Story,2007-04-03,13,['Brandi Carlile'],['2sG4zTOLvjKG1PSoOyf5Ej'],acoustic
24,Breathe (2 AM),61,5auMzVHFr5Zfw6IbKarZ56,279826,Wreck of the Day,2005,11,['Anna Nalick'],['4LoM3lMauQ540MW9QiyIcR'],acoustic
25,Lucky,70,2qLMf6TuEC3ruGJg4SMMN6,189613,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),2008-05-01,26,"['Jason Mraz', 'Colbie Caillat']","['4phGZZrJZRo4ElhRtViYdl', '6aZyMrc4doVtZyKNilOmwu']",acoustic
26,You And I,60,7aohwSiTDju51QmC54AUba,148400,Be OK,2008-10-14,11,['Ingrid Michaelson'],['2vm8GdHyrJh2O2MfbQFYG0'],acoustic
27,And I Love Her,63,7x4b0UccXSKBWxWmjcrG2T,124933,Montage Of Heck: The Home Recordings,2015-11-13,13,['Kurt Cobain'],['6pAuTi6FXi6qFQJ1dzMXQs'],acoustic
28,Dos Oruguitas,58,6WuBXGHGpSqpkFCl7ei8xp,207778,Disney Guitar: Family,2022-03-07,2,"['Disney Peaceful Guitar', 'Disney']","['3oqzxUlHhjJ7auI4dVujKX', '3xvaSlT4xsyk6lY1ESOspO']",acoustic
29,She Used To Be Mine,61,2D4BSm5Z8Hq5zYbSgJwEOh,250266,What's Inside: Songs from Waitress,2015-11-06,12,['Sara Bareilles'],['2Sqr0DXoaYABbjBo9HaMkM'],acoustic
30,Gravity,61,4oa14QBfWRDfJy2agySy0L,232760,Little Voice,2007-07-03,12,['Sara Bareilles'],['2Sqr0DXoaYABbjBo9HaMkM'],acoustic
31,Can't Help Falling In Love,66,6lfxq3CG4xtTiEg7opyCyx,201933,Crazy Rich Asians (Original Motion Picture Soundtrack),2018-08-10,14,['Kina Grannis'],['7h4j9YTJJuAHzLCc3KCvYu'],acoustic
32,Once Upon a Dream,58,1jHNQodYIGvk187xrISw1i,109895,Disney Guitar: Lullaby,2020-04-15,8,"['Disney Peaceful Guitar', 'Disney']","['3oqzxUlHhjJ7auI4dVujKX', '3xvaSlT4xsyk6lY1ESOspO']",acoustic
33,Baby Mine,58,4BU9s6QLGFCaxlgaPWWuFY,166781,Disney Guitar: Lullaby,2020-04-15,8,"['Disney Peaceful Guitar', 'Disney']","['3oqzxUlHhjJ7auI4dVujKX', '3xvaSlT4xsyk6lY1ESOspO']",acoustic
34,Boston,57,2WZyfujzMweFLnozyUJBkW,245933,All The Stars and Boulevards,2005,11,['Augustana'],['61YE3whKiuRr83j1yOm5M7'],acoustic
35,Have It All,61,7BXW1QCg56yzEBV8pW8pah,226106,Know.,2018-08-10,10,['Jason Mraz'],['4phGZZrJZRo4ElhRtViYdl'],acoustic
36,Living My Best Life,56,0R7EWhquaAICmyE5MZqt3q,215213,The Joy of Music,2022-03-11,13,['Ben Rector'],['4AapPt7H6bGH4i7chTulpI'],acoustic
